Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
realme ,"realme C20 (Cool Grey, 32 GB)  (2 GB RAM)",Cool Grey,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,HD+,5000 mAh Battery,"Rs. 7,499",https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBGF489SQZCFHYA.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
realme ,"realme C20 (Cool Blue, 32 GB)  (2 GB RAM)",Cool Blue,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,HD+,5000 mAh Battery,"Rs. 7,499",https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBGF4894MEWZJGV.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
REDMI ,"REDMI 9i (Nature Green, 64 GB)  (4 GB RAM)",Nature Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Battery,"Rs. 8,499",https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7GEI6Y9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFV8RYNA4FVEH7.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
POCO ,"POCO M3 (Cool Blue, 64 GB)  (4 GB RAM)",Cool Blue,4 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 10,499",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itm3bcdc32409005?pid=MOBG4CGF7NWAEVRK&lid=LSTMOBG4CGF7NWAEVRKSCTC2I&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBG4CGF7NWAEVRK.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
POCO ,"POCO M3 (Cool Blue, 64 GB)  (6 GB RAM)",Cool Blue,6 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itmc8ec867cb0472?pid=MOBFZTCUDDCTDN3G&lid=LSTMOBFZTCUDDCTDN3GBY0LIO&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFZTCUDDCTDN3G.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C3 (Arctic Blue, 32 GB)  (3 GB RAM)",Arctic Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Battery,"Rs. 7,499",https://www.flipkart.com/poco-c3-arctic-blue-32-gb/p/itm815e140cbd2a0?pid=MOBFVQJ5PMVMSJHT&lid=LSTMOBFVQJ5PMVMSJHTM4AH73&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFVQJ5PMVMSJHT.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
POCO ,"POCO M3 (Power Black, 64 GB)  (4 GB RAM)",Power Black,4 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 10,499",https://www.flipkart.com/poco-m3-power-black-64-gb/p/itm39e9e3fb7d8b2?pid=MOBG4CGFRMX2AKFD&lid=LSTMOBG4CGFRMX2AKFDNJETFV&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBG4CGFRMX2AKFD.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C3 (Matte Black, 32 GB)  (3 GB RAM)",Matte Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Battery,"Rs. 7,499",https://www.flipkart.com/poco-c3-matte-black-32-gb/p/itm1ee2f6513ac1c?pid=MOBFVQJ5YCRFFXPB&lid=LSTMOBFVQJ5YCRFFXPBPG5BWJ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFVQJ5YCRFFXPB.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
Infinix ,"Infinix Smart 5 (Aegean Blue, 32 GB)  (2 GB RAM)",Aegean Blue,2 GB,32 GB,13MP + Low Light Sensor,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Battery,"Rs. 6,999",https://www.flipkart.com/infinix-smart-5-aegean-blue-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3HUEEMQUPZ&lid=LSTMOBFZX3HUEEMQUPZT01YKM&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFZX3HUEEMQUPZ.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
Infinix ,"Infinix Smart 5 (Morandi Green, 32 GB)  (2 GB RAM)",Morandi Green,2 GB,32 GB,13MP + Low Light Sensor,8MP Front Camera,17.32 cm (6.82 inch),1640 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Battery,"Rs. 6,999",https://www.flipkart.com/infinix-smart-5-morandi-green-32-gb/p/itm8d968c7fe7d88?pid=MOBFZX3H2ARU2GHY&lid=LSTMOBFZX3H2ARU2GHY5J5UTT&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=30a17756-b103-492a-bec5-737f713a0116.MOBFZX3H2ARU2GHY.SEARCH&ppt=hp&ppn=homepage&ssid=i18jx176b40000001629702766091&qH=d2d7ba3c0ae30d4a
